 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"110001 Alta Floresta D'Oeste";7;-;6;7;4;7;4;5;2;5;47
"110037 Alto Alegre dos Parecis";1;4;3;2;-;-;4;3;1;1;19
"110040 Alto Paraíso";5;9;5;1;2;7;4;5;3;5;46
"110034 Alvorada D'Oeste";7;2;4;4;6;4;4;5;1;4;41
"110002 Ariquemes";33;49;46;51;28;38;33;26;28;26;358
"110045 Buritis";12;6;7;9;15;5;15;5;5;6;85
"110003 Cabixi";-;1;1;-;1;1;2;2;1;1;10
"110060 Cacaulândia";-;1;2;-;1;-;2;1;1;-;8
"110004 Cacoal";26;31;46;37;36;34;79;97;50;68;504
"110070 Campo Novo de Rondônia";1;-;-;-;1;1;-;-;1;1;5
"110080 Candeias do Jamari";6;8;8;16;7;12;4;11;7;5;84
"110090 Castanheiras";-;-;-;3;3;4;2;1;1;1;15
"110005 Cerejeiras";4;6;5;7;2;6;5;6;6;2;49
"110092 Chupinguaia";-;-;-;1;1;1;2;1;-;-;6
"110006 Colorado do Oeste";6;5;8;5;2;5;2;3;4;2;42
"110007 Corumbiara";-;3;2;-;2;3;-;1;1;-;12
"110008 Costa Marques";2;1;7;-;-;5;-;3;-;1;19
"110094 Cujubim";5;1;4;-;-;4;2;1;-;2;19
"110009 Espigão D'Oeste";1;4;4;2;3;9;6;3;2;5;39
"110100 Governador Jorge Teixeira";-;1;2;1;-;2;-;1;3;-;10
"110010 Guajará-Mirim";8;9;7;5;10;13;1;2;2;1;58
"110110 Itapuã do Oeste";5;6;1;1;9;3;4;4;1;1;35
"110011 Jaru";22;23;22;10;17;8;10;19;13;18;162
"110012 Ji-Paraná";72;67;62;44;33;21;23;22;25;23;392
"110013 Machadinho D'Oeste";3;9;9;6;11;11;7;12;4;12;84
"110120 Ministro Andreazza";1;-;-;1;4;-;1;2;-;-;9
